Comment,Designator,Footprint,LCSC
Conn_01x03_MountingPin,J8,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,C145955
Conn_01x06_MountingPin,J9,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,C145958
20p,"C18,C4",C_0402_1005Metric,C1554
Q_Dual_NMOS_G1,"Q1,Q2,Q7",V-DFN3030-8 (Type K),C155503
33nf,C19,C_0402_1005Metric,C1585
10uf 25v,"C1,C6",C_0805_2012Metric,C15850
USB_C_Receptacle_USB2.0,J14,USB_C_Receptacle_XKB_U262-16XN-4BVC11,C165948
SS210,D5,D_SOD-323,C191023
1N4148WS,"D1,D10,D11,D12,D2,D7",D_SOD-323,C2128
LED,"D3,D4_white2",LED_0805_2012Metric,C2297
5.1k,R20,R_0402_1005Metric,C23186
120,R98,R_0402_1005Metric,C25079
220,"R5,R6,R8",R_0402_1005Metric,C25091
33,"R1,R13,R17,R18,R25,R4",R_0402_1005Metric,C25105
10k,"R11,R2,R3,R99",R_0402_1005Metric,C25744
22k,"R26,R27,R41,R47",R_0402_1005Metric,C25768
1.5k,"R23,R24,R44,R50",R_0402_1005Metric,C25867
5.1k,R19,R_0402_1005Metric,C25905
PRTR5V0U2X,D13,SOT-143,C2827688
1uF,"C16,C24,C27",C_0805_2012Metric,C28323
STSPIN32G4,IC1,STSPIN32G4,C2858620
Conn_01x06_MountingPin,J6,PinHeader_1x06_P1.27mm_Vertical,C2904934
Conn_01x12_MountingPin,J2,0.5K-A-12PBF,C2914207
BAT30k,D8,D_SOD-523,C2926449
100nF,"C11,C41,C7,C9",C_0402_1005Metric,C307331
18uh,L2,L_1812_4532Metric,C394124
11k,"R29,R53",R_0402_1005Metric,C409665
1uF,"C10,C8",C_0402_1005Metric,C52923
220nF,C2,C_0805_2012Metric,C5378
2.2uf,"C21,C23,C26,C3",C_1206_3216Metric,C650969
7mΩ,"R15,R7",R_1206_3216Metric,C76302
LED,D4_white1,LED_0805_2012Metric,C84256
24mhz,Y3,Crystal_SMD_3225-4Pin_3.2x2.5mm,C9002
TJA1057T/1Z,U2,SOIC-8_3.9x4.9mm_P1.27mm,C961484
Conn_01x02_Female,J4,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Bridged,JP8,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
NetTie_2,NT1,NetTie-2_SMD_Pad0.5mm,
72.3k,R37,R_0402_1005Metric,
3.01k,R39,R_0402_1005Metric,
Jumper_2_Bridged,JP4,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
Jumper_2_Open,JP3,SolderJumper-2_P1.3mm_Open_TrianglePad1.0x1.5mm,
NetTie_2,NT2,NetTie-2_SMD_Pad0.5mm,
MountingHole,H3,MountingHole_2.2mm_M2,
MountingHole,H2,MountingHole_2.2mm_M2,
MountingHole,H1,MountingHole_2.2mm_M2,
MountingHole,H4,MountingHole_2.2mm_M2,
Conn_01x03_Pin,J1,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,
Conn_01x03_MountingPin,J5,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,
SW_Push,SW1,SolderJumper-2_P1.3mm_Open_RoundedPad1.0x1.5mm,
Jumper_2_Bridged,JP1,SolderJumper-2_P1.3mm_Bridged_RoundedPad1.0x1.5mm,
