Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uf 25v,C_0805_2012Metric,15.748,-12.5315,90.0,top
C2,220nF,C_0805_2012Metric,2.032,-22.86,0.0,top
C3,2.2uf,C_1206_3216Metric,25.527,-13.13,-90.0,top
C4,20p,C_0402_1005Metric,7.084,-18.1195,180.0,top
C6,10uF,C_0805_2012Metric,17.018,-8.89,90.0,top
C7,100nF,C_0402_1005Metric,7.084,-17.0975,180.0,top
C8,1uF,C_0402_1005Metric,12.446,-28.2795,-90.0,top
C9,100nF,C_0402_1005Metric,7.084,-16.0875,180.0,top
C10,1uF,C_0402_1005Metric,9.017,-27.7715,180.0,top
C11,100nF,C_0402_1005Metric,9.045,-28.6605,180.0,top
C16,1uF,C_0805_2012Metric,19.431,-16.5955,-90.0,top
C18,20p,C_0402_1005Metric,6.096,-19.05,180.0,top
C19,33nf,C_0402_1005Metric,6.955,-26.3745,180.0,top
C21,2.2uf,C_1206_3216Metric,32.766,-13.081,-90.0,top
C23,2.2uf,C_1206_3216Metric,30.226,-13.13,-90.0,top
C24,1uF,C_0805_2012Metric,19.431,-19.8975,-90.0,top
C26,2.2uf,C_1206_3216Metric,27.94,-13.13,-90.0,top
C27,1uF,C_0805_2012Metric,19.431,-23.1995,-90.0,top
C41,100nF,C_0402_1005Metric,20.828,-13.462,0.0,top
D1,1N4148WS,D_SOD-323,21.463,-19.8975,90.0,top
D2,1N4148WS,D_SOD-323,13.97,-26.7555,-90.0,top
D3,LED,LED_0805_2012Metric,1.7295,-6.604,180.0,top
D4_white1,LED,LED_0805_2012Metric,2.032,-24.892,180.0,top
D4_white2,LED,LED_0805_2012Metric,2.032,-27.94,0.0,top
D5,SS210,D_SOD-323,6.858,-13.97,90.0,top
D7,1N4148WS,D_SOD-323,21.463,-16.5955,90.0,top
D8,BAT30k,D_SOD-523,4.572,-26.162,-90.0,top
D10,1N4148WS,D_SOD-323,16.002,-26.7555,-90.0,top
D11,1N4148WS,D_SOD-323,21.463,-23.1995,-90.0,top
D12,1N4148WS,D_SOD-323,18.034,-26.7215,-90.0,top
D13,PRTR5V0U2X,SOT-143,7.001,-10.734,180.0,top
IC1,STSPIN32G4,STSPIN32G4,13.05595,-19.8099,0.0,top
J1,Conn_01x03_Pin,JST_XH_B3B-XH-AM_1x03_P2.50mm_Vertical,28.367064,-26.907,180.0,top
J2,Conn_01x12_MountingPin,0.5K-A-12PBF,16.724,-30.97,0.0,top
J4,Conn_01x02_Female,PinHeader_1x02_P2.54mm_Vertical,30.221,-8.001,90.0,top
J5,Conn_01x03_MountingPin,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,19.288,-2.794,0.0,bottom
J6,Conn_01x06_MountingPin,PinHeader_1x06_P1.27mm_Vertical,5.165074,-33.4645,-60.0,top
J8,Conn_01x03_MountingPin,JST_SH_BM03B-SRSS-TB_1x03-1MP_P1.00mm_Vertical,19.288,-2.794,0.0,top
J9,Conn_01x06_MountingPin,JST_SH_BM06B-SRSS-TB_1x06-1MP_P1.00mm_Vertical,2.794,-12.446,90.0,top
J14,USB_C_Receptacle_USB2.0,USB_C_Receptacle_XKB_U262-16XN-4BVC11,10.668,-3.937,180.0,top
L2,18uh,L_1812_4532Metric,11.684,-12.6245,0.0,top
Q1,Q_Dual_NMOS_G1,V-DFN3030-8 (Type K),28.362,-21.866,0.0,top
Q2,Q_Dual_NMOS_G1,V-DFN3030-8 (Type K),31.455,-21.866,0.0,top
